Earned Income Credit",,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,Atlantic County,"133,990","65,080","42,080","24,270","81,820","251,690","85,620","2,300",660,"1,640",140,140,"21,590","33,450","7,030,567","133,590","7,149,269","111,890","5,098,376","32,910","42,162","23,370","112,548","21,690","83,782","21,860","20,151","16,790","268,142","19,340","171,678","13,240","223,300","26,500","652,186",390,"13,340","74,757","19,610","287,428","5,900","244,321","29,430","118,702","4,400","1,156",700,"17,545","2,720","24,325","2,440","12,331","9,790","10,724","1,340","3,402",290,"4,189","45,900","1,057,987","4,648,397","36,510","198,110","8,470","8,318","41,330","284,016","45,750","498,558","33,730","241,958","38,310","103,566","99,310","4,622,011","98,840","835,819","2,890","14,798","2,810","2,952","38,680","40,956","5,050",892,"5,470","3,109","9,090","10,531","5,950","1,057","19,180","21,146","2,900","1,988","13,570","44,588","4,330","18,372","4,970","20,618","5,930","2,578","127,810","1,093,967","27,920","68,439","24,540","60,691","20,060","25,694","9,370","8,742","1,930","1,513","87,420","793,325","95,490","852,985","1,680","2,856","1,700","4,877","20,230","90,254","107,560","312,026",
001,Under $1,1710,1020,530,90,1210,2580,440,**,**,**,**,0,50,820,-137017,1310,-135218,400,12204,530,2104,440,1724,400,1148,70,85,530,-7043,600,1571,170,2263,200,2002,50,40,232,**,**,290,-22934,400,1799,**,**,0,0,90,634,**,**,70,103,60,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,20,6,0,0,0,0,0,0,0,0,0,0,**,**,0,0,240,630,150,945,160,792,**,**,800,3414,170,196,110,139,70,92,100,102,120,162,30,6,300,700,20,9,0,0,170,314,670,2681,
001,"$1 under $10,000",20880,17140,1360,2160,10870,19370,4830,680,230,440,70,**,2860,3560,110457,20880,113470,16410,86561,2500,1200,1880,2380,1700,1475,200,101,2160,9419,1580,-80,870,3671,1960,9004,**,950,3376,50,185,200,-481,2490,3013,40,10,**,**,130,487,40,140,390,395,280,864,**,**,1200,18183,6657,240,377,780,325,980,5853,1170,6657,590,3371,680,637,2350,4031,2230,404,0,0,110,34,110,12,60,2,0,0,30,8,**,**,**,**,0,0,1820,1537,400,1899,410,1724,20,4,18350,17701,6600,7932,5950,7057,2310,1502,920,790,290,221,2190,393,4230,2009,0,0,0,0,1290,588,17500,16224,
001,"$10,000 under $25,000",33160,19250,4150,9250,19050,58040,22760,780,250,540,70,80,8410,6190,568171,33160,576596,27560,444305,3920,2813,2560,5788,2340,3604,840,328,3880,35575,1940,1562,1970,14717,4390,43381,30,4390,20826,2240,4314,500,1851,5400,8425,180,40,**,**,300,1473,240,790,1460,1503,200,483,**,**,3630,54399,65442,1440,1459,1930,1118,2840,15695,3590,19060,1870,10530,2380,3510,20360,125680,20220,13290,0,0,620,238,6360,2328,180,5,490,163,1900,1129,1830,293,2220,703,110,26,3430,5953,1530,6270,1570,6117,2510,714,31550,101224,13310,43924,11920,39605,10700,14358,2360,2044,870,555,15760,10962,19600,17964,**,**,0,0,2290,2257,29870,85424,
001,"$25,000 under $50,000",31880,15560,7270,8110,19180,61660,22660,570,140,430,**,60,6590,7190,1143395,31880,1158456,27840,922023,6020,4126,3930,10503,3590,7089,3660,1413,2960,29577,3090,4444,2660,27812,5650,89898,50,3440,20884,5300,37253,790,6387,6080,15061,530,128,60,485,500,3050,660,2760,2850,3232,140,344,30,62,8870,142539,334265,6110,7443,2540,2076,7360,40453,8830,51755,5880,33536,6730,11651,30410,563965,30250,69236,**,**,1320,970,12820,11094,690,34,1740,1063,2690,2848,3410,645,7140,6256,560,217,2180,5679,1790,7128,1950,7973,2390,952,31200,136686,7790,16366,6520,13875,6180,8706,2210,1995,560,471,24240,58142,25850,65592,**,**,0,0,4000,5949,27400,76339,
001,"$50,000 under $75,000",17330,7000,7140,2730,11030,35210,10750,200,40,160,0,**,1980,5570,1063541,17330,1077383,14550,776720,5520,5494,3780,12190,3490,8489,4770,2877,2060,25230,2990,6912,2350,32916,4850,121763,60,1780,11735,4440,69864,690,7390,4670,13842,880,214,70,666,370,2861,480,2285,2020,2285,250,579,20,73,8960,162924,556736,7200,15448,1650,1950,8070,46904,8950,65537,6660,41765,7440,15143,17210,678239,17170,95469,20,22,500,898,6660,9015,810,54,820,448,1580,2232,710,119,3990,5729,660,318,1540,4826,390,1874,610,2825,660,443,17090,123895,50,21,40,15,680,857,1290,1277,90,104,16420,86453,16670,92571,**,**,0,0,3790,8671,13150,38977,
001,"$75,000 under $100,000",10880,2770,6770,1140,7340,25540,7890,40,**,40,0,**,890,3860,944552,10880,956033,9220,667900,4400,4325,3090,11012,2880,7916,4310,3668,1630,24451,2500,9018,1850,32513,3500,116893,60,1260,8175,3070,63797,660,8393,3230,11481,810,206,60,803,270,2275,340,1882,1120,1216,50,122,30,124,7310,151435,637450,6400,20300,840,1276,6830,43595,7300,66019,5820,40537,6430,14587,10860,650428,10840,97574,80,112,140,447,4680,7190,770,52,680,395,1170,1634,0,0,2850,4513,560,383,1280,4499,70,256,160,757,210,212,10780,118169,0,0,0,0,100,138,910,889,**,**,10710,90384,10750,95998,**,**,0,0,2600,7916,7970,28831,
001,"$100,000 under $200,000",14720,1980,11920,700,10300,39830,13190,30,**,30,0,0,770,4970,1966320,14720,1994298,12910,1414800,7480,10867,5580,28860,5260,21469,6790,7533,2680,60767,4600,31814,2700,72107,4980,215132,110,1370,8795,3750,91113,1480,33341,5650,27978,1750,503,210,3850,550,5653,570,3385,1880,1990,360,798,100,571,12580,327964,1705180,11840,67757,670,1422,12050,91441,12570,163020,10390,82644,11500,33641,14700,1453995,14680,249378,590,1270,100,359,6690,8894,1570,170,1480,888,1720,2680,0,0,2980,3945,850,780,2080,10462,**,**,110,430,120,189,14640,280563,0,0,0,0,20,41,1580,1645,0,0,14650,240484,14670,253108,110,36,30,17,4440,21069,9690,44575,
001,"$200,000 or more",3430,360,2940,90,2840,9460,3100,**,0,**,0,0,40,1290,1371148,3430,1408251,3000,773863,2540,11233,2110,40091,2030,32592,1220,4146,890,90166,2040,116437,670,37301,970,54113,30,110,734,760,20902,1290,210374,1510,37103,210,55,300,11741,510,7892,110,1089,0,0,0,0,110,3359,3350,200543,1342667,3280,85326,60,151,3200,40075,3340,126510,2520,29575,3150,24397,3420,1145673,3420,310461,2200,13394,**,**,1360,2423,970,575,260,152,0,0,0,0,**,**,160,264,1000,11002,0,0,**,**,20,64,3400,312315,0,0,0,0,0,0,0,0,0,0,3420,306501,3420,325043,1550,2811,1670,4860,1650,43490,1310,18975,
