net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,"Number of 
farm returns",Unemployment compensation [4],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employment retirement plans,,Self-employment health insurance deduction,,IRA payments,,Student loan interest deduction,,Tuition and fees deduction,,Domestic production activities deduction,,Total itemized deductions,,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Income tax before credits,,Alternative minimum tax,,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contribution credit,,Child tax credit,,Residential energy tax credit,,Self-employment tax,,Total tax payments,,Earned income credit [5],,Excess earned income credit (refundable) [6],,Additional child tax credit,,Refundable education credit,,Income tax [7],,Total tax liability [8],,Additional Medicare tax,,Net investment income tax,,Tax due at time of filing [9],,Overpayments refunded [10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$75,000 under $100,000",392040,117500,223030,42360,262060,894410,279580,34011412,392040,34433170,340990,25577390,187290,228409,128940,503775,119140,355742,163830,145576,58120,875546,100210,267809,56710,979351,106110,3145387,1170,39700,353521,91680,1888365,27190,359977,107940,421757,24020,6110,3020,36543,10490,90369,12550,68802,30820,37990,2920,6722,730,2072,269090,5939797,23467195,235650,804917,30160,42612,239250,1790838,268870,2683634,201380,1627620,232750,551092,390550,23364887,389550,3590675,4100,5995,169330,253587,32260,5585,25750,14922,41760,60646,0,0,104880,162074,17880,6099,45410,166362,388320,4409428,0,0,0,0,3600,5117,33050,32798,385490,3337097,387420,3529692,170,88,50,10,87610,258683,291910,1092635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$100,000 under $200,000",657400,95950,520550,33370,446260,1825320,647610,90414886,657400,91592348,598260,70737380,387940,543299,294190,1429219,276730,1054500,335720,401628,119550,2681740,240560,1163422,96150,2440936,172060,6424998,2360,61600,527510,125270,3024609,72380,1640944,233770,1177462,59250,16192,12380,203833,23460,232611,26530,155523,60570,60421,18160,40128,2570,11558,579260,16401730,80664435,551570,3477594,23420,44832,535950,4832354,578980,8456023,465160,4539748,522080,1499945,656230,66086188,655450,11701829,45090,97696,315150,383709,85970,27578,73970,44519,74980,113888,0,0,131580,166369,37890,14098,96320,458379,653600,13302522,0,0,0,0,1030,1588,69910,71330,654070,11318177,654990,11854586,6290,1944,1990,823,189750,871859,441040,2133383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$200,000 or more",275140,22610,243380,6910,205910,864360,345980,131507087,275140,133738729,253050,83592562,219910,1858722,195860,4139675,188870,3034504,113600,672850,62910,5074356,185080,10570760,36760,1720905,52690,2488532,1550,14850,132099,36030,979565,84580,17670764,99630,2231643,13430,3480,22800,800752,27770,413729,5810,55713,0,0,0,0,6100,201392,271310,19531223,130146510,267570,10119966,2760,8127,255120,3834483,271230,14055301,212470,3092053,252360,2455485,274760,109825934,274950,31997827,204430,1525175,130220,568222,92020,451644,34680,20015,0,0,0,0,80,68,12520,7732,67900,766787,273710,33206691,0,0,0,0,0,0,0,0,274910,31640318,274970,33178317,156710,360816,147320,544999,138670,2971448,102660,1653371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,Atlantic County,"137,490","66,250","42,820","25,780","86,440","261,250","91,150","6,918,921","137,190","7,029,121","115,950","5,049,516","37,010","48,992","24,050","102,588","22,010","72,028","22,600","18,917","16,310","246,849","19,660","122,682","12,580","198,213","28,250","610,516",400,"18,690","140,641","18,840","255,688","6,080","242,632","28,940","110,199","4,560","1,191",700,"15,626","2,750","23,661","2,390","12,074","9,350","9,726","1,370","3,389",300,"2,877","47,230","1,063,259","4,544,087","36,830","188,757","9,410","9,819","42,940","274,808","47,080","480,728","35,900","275,258","39,250","97,481","102,290","4,469,779","101,520","804,142","2,690","14,031","41,240","42,923","4,830",877,"5,870","3,347","9,980","11,228","5,900","1,043","20,810","22,885","3,560","1,529","13,080","41,783","131,130","1,064,445","28,370","66,459","25,170","59,471","21,330","27,834","10,370","9,533","89,060","761,259","96,710","815,479","1,490","2,577","1,480","3,537","19,600","82,933","111,430","315,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,Under $1,1660,1020,500,80,1220,2440,420,-113312,1360,-111397,450,12890,550,1627,460,2167,420,1391,50,96,550,-5606,640,1584,160,2723,210,2533,30,70,504,0,0,330,-18552,390,1914,**,**,**,**,120,857,**,**,60,79,50,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,533,800,3725,180,188,100,112,70,106,100,94,**,**,320,681,30,11,0,0,190,292,640,2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,"$1 under $10,000",21570,17890,1240,2210,11750,20030,5110,114356,21570,117679,17010,89297,2970,1645,2030,2611,1820,1436,160,69,2180,9377,1750,-143,830,3117,1890,8376,30,1310,5733,60,265,230,-300,2520,3323,40,9,**,**,180,825,50,189,410,405,240,786,**,**,1240,18509,6836,270,311,800,350,990,5438,1200,6208,580,3485,690,711,2410,4378,2210,425,0,0,110,10,60,1,0,0,30,8,**,**,0,0,0,0,1820,1569,18950,17930,6710,7877,6080,6960,2470,1593,1050,909,2180,413,4300,2065,0,0,0,0,1280,565,18050,16364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,"$10,000 under $25,000",35030,19940,4310,10220,21420,62310,25020,604270,35030,612369,29290,465049,4880,3772,2780,6050,2480,3520,890,373,3660,31876,2160,645,2020,14368,5080,43783,30,6280,39212,2220,4253,540,1638,5310,8099,180,40,**,**,310,1789,240,708,1580,1565,170,433,**,**,3980,59797,72314,1500,1241,2170,1322,3230,16847,3920,20094,2260,13592,2610,3555,22410,139059,22090,14587,**,**,7410,2736,190,4,650,239,2270,1297,1960,318,2630,843,120,26,3160,5317,33300,104172,13560,43114,12350,39387,11460,15350,2790,2349,16760,11851,20060,17582,**,**,0,0,2310,2143,31580,88654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,"$25,000 under $50,000",33700,16150,7720,8830,21070,66110,24810,1205837,33700,1220798,29690,965002,7230,6429,4210,10774,3820,6573,4260,1481,2950,29496,3270,2722,2620,25980,7110,92021,60,4990,41505,5410,36811,840,5420,6190,14961,620,147,60,404,480,3161,650,2770,2760,3000,210,535,40,61,9770,156091,368056,6620,7922,2910,2505,8340,42439,9740,54634,6820,42338,7420,12322,32130,602858,31970,73588,**,**,13790,12076,720,43,1960,1260,2930,3051,3370,629,7800,6837,730,227,2200,5677,33000,143583,7890,15275,6610,13008,6520,9788,2390,2140,25730,61512,27330,68346,**,**,0,0,4060,6147,29050,80593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,"$50,000 under $75,000",17760,6780,7820,2700,11540,37280,11710,1089160,17760,1104058,15130,798046,6360,6611,4050,11902,3690,7950,5290,3012,2060,26448,3080,5995,2310,30595,5080,120636,60,2590,22964,4290,64966,800,7697,4680,14899,950,233,50,510,390,3146,500,2431,1970,1917,240,524,30,88,9660,175519,599023,7680,16203,1850,2607,8840,48685,9650,68708,7550,51131,8090,15529,17630,691805,17590,97228,40,111,7130,9829,780,45,870,480,1730,2394,570,96,4330,6330,910,340,1530,5121,17510,127935,30,5,30,4,710,871,1420,1397,16830,87399,17070,93604,**,**,0,0,3620,8167,13750,41411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
