net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,"Number of 
farm returns",Unemployment compensation [5],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employment retirement plans,,Self-employment health insurance deduction,,IRA payments,,Student loan interest deduction,,Tuition and fees deduction,,Domestic production activities deduction,,Total itemized deductions,,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Income tax before credits,,Alternative minimum tax,,Excess advance premium tax credit repayment,,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contribution credit,,Child tax credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,Health care individual responsibility payment,,Total tax payments,,Earned income credit [6],,Excess earned income credit (refundable) [7],,Additional child tax credit,,Refundable education credit,,Net premium tax credit,,Income tax [8],,Total tax liability [9],,Additional Medicare tax,,Net investment income tax,,Tax due at time of filing [10],,Overpayments refunded [11],,
,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),
000,"$75,000 under $100,000",391680,122980,215330,43750,262180,874640,267880,2170,540,1630,33991315,391680,34408204,337980,25444797,175810,202384,125720,531241,117210,380957,156720,141158,57340,863416,99190,395549,58050,1025225,107320,3195729,1100,30580,205785,93760,1956755,26010,330961,109290,416889,22910,5838,2740,34811,10280,87101,12220,68231,35830,39686,2500,5707,690,1922,260910,5725977,22766278,227960,784687,29920,40794,230270,1761082,260710,2627611,191350,1483832,225200,542921,390350,23478948,389340,3608657,3900,5883,2250,6159,162920,240821,32370,5923,25050,14641,39350,56914,0,0,100280,153434,15030,5785,44420,164178,1150,3848,2670,10396,8040,4793,387540,4398716,0,0,0,0,3560,5346,31130,30768,280,261,385280,3367866,387210,3563219,130,65,0,0,92600,274566,287470,1065907,
000,"$100,000 under $200,000",674630,105290,525290,35790,459040,1838690,639020,1600,510,1100,93043608,674630,94252927,607740,71845335,377490,501942,298040,1642316,282140,1222327,337140,403873,122180,2685477,246690,1654081,104050,2724251,182170,6890982,2500,49990,331994,135860,3349308,72180,1612574,238610,1209319,58570,16068,12140,204254,23830,241404,26960,158430,66630,69676,16670,36401,2380,10161,586650,16429815,82006957,558190,3509900,24380,45043,539760,4945213,586420,8600780,463150,4340122,527070,1538663,673690,68348328,672700,12023212,43390,91994,1440,5252,314060,375162,91550,29413,73660,44538,72760,110181,0,0,127580,159934,32870,13805,98240,465199,120,317,1550,5925,6500,6361,670450,13590804,0,0,0,0,1010,1562,67540,68647,0,0,671200,11648060,672100,12200435,6540,1787,1980,635,201910,920116,445660,2123537,
000,"$200,000 or more",299790,25660,263870,7750,223650,929150,365620,230,120,110,146729070,299790,149131171,274080,90918344,232170,1746880,211920,5045160,205510,3793447,132630,851170,68310,5381048,199940,15980821,43780,2136649,59680,2941486,1660,12590,89561,42160,1181230,90170,18875015,106630,2402101,14520,3771,24030,853524,29420,447265,6310,60792,0,0,0,0,6350,214485,294610,20592048,144785879,290680,10505498,2840,8127,276210,4203383,294510,14814798,226950,3170676,273240,2779799,299530,123759572,299600,35528954,218400,1586522,180,749,142130,600557,102880,464687,37940,22009,0,0,0,0,90,97,11460,9033,72760,823412,0,0,180,756,1400,3920,298250,36684165,0,0,0,0,0,0,0,0,0,0,299430,35187004,299660,36926709,169270,399320,164650,683803,155230,3406052,108200,1790031,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,Atlantic County,"135,430","65,400","42,340","25,100","83,950","256,240","88,450","2,310",710,"1,590","6,988,748","135,090","7,100,937","114,050","5,062,886","34,720","43,513","23,760","115,994","21,960","82,709","22,270","19,728","16,470","244,001","19,790","203,511","12,950","215,053","27,260","634,220",400,"16,040","93,971","19,260","274,087","5,930","215,338","29,190","112,189","4,400","1,154",710,"16,371","2,810","23,843","2,440","12,184","9,710","10,607","1,320","3,172",300,"2,738","46,050","1,051,887","4,583,680","36,510","191,605","8,630","8,583","41,750","281,545","45,900","488,456","34,380","253,226","38,340","100,608","100,760","4,563,571","100,150","816,074","2,810","14,835","1,660","1,782","39,820","41,688","5,070","1,172","5,750","3,256","9,520","10,913","6,040","1,053","19,910","21,848","2,930","1,487","13,250","42,417","2,540","9,863","2,870","11,214","6,690","1,310","129,220","1,088,813","28,240","68,320","24,960","60,872","20,990","27,154","9,800","9,089","1,080",779,"88,240","774,828","96,820","832,086","1,530","2,650","1,640","4,746","20,190","83,167","109,130","322,141",
001,Under $1,1680,1040,510,90,1230,2560,460,**,**,**,-127531,1340,-125724,430,14472,520,2230,420,2468,390,1790,70,140,540,-6361,600,2017,160,1945,190,1932,50,50,327,**,**,330,-33058,370,1807,**,**,**,**,110,600,**,**,70,99,50,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,**,**,**,**,**,**,0,0,0,0,**,**,**,**,**,**,0,0,230,504,80,431,90,392,30,4,820,3790,180,201,120,137,90,125,110,107,70,63,20,11,300,619,**,**,0,0,170,196,660,2878,
001,"$1 under $10,000",20910,17200,1240,2250,11230,19480,4990,610,220,390,111058,20910,113977,16600,87788,2610,1249,1850,2339,1650,1382,160,63,2100,9312,1600,583,800,3226,1910,8583,**,1060,3824,50,247,210,-600,2380,2919,40,8,**,**,160,679,40,142,370,375,240,696,**,**,1100,16407,6050,200,219,750,330,910,5514,1070,6162,510,2848,620,555,2450,4417,2300,437,0,0,70,27,110,12,60,2,0,0,30,8,**,**,**,**,0,0,1740,1503,190,955,200,894,170,18,18360,17584,6590,7857,5990,6981,2410,1540,940,816,140,114,2270,425,4390,2018,0,0,0,0,1260,564,17570,16072,
001,"$10,000 under $25,000",34090,19430,4320,9800,20030,60570,24210,820,290,530,585937,34090,594206,28670,459773,4380,2836,2670,5849,2440,3431,990,370,3920,35203,2110,1934,1940,14031,4640,43689,30,5140,24112,2200,4121,540,1658,5510,8269,180,40,**,**,330,1556,260,817,1560,1543,210,550,**,**,3820,57837,68709,1560,1466,2000,1137,3040,16969,3770,20180,2070,11935,2500,3533,21210,131547,21000,13845,**,**,380,145,6840,2460,200,10,560,194,1990,1148,1900,299,2440,778,110,22,3420,5834,910,3462,910,3376,3170,327,32470,103865,13510,44317,12210,40096,11340,15208,2500,2143,490,304,16170,11386,20410,17887,**,**,0,0,2310,2170,30740,87980,
001,"$25,000 under $50,000",32750,15890,7460,8430,20100,63620,23570,610,160,450,1172267,32750,1187139,28820,943856,6650,4609,4080,10269,3740,6611,3810,1474,2800,27816,3230,5373,2660,27950,6130,91633,60,4450,27774,5300,37176,790,5909,6130,14872,560,132,60,437,500,3090,640,2554,2890,3327,160,365,40,66,9060,145369,341789,6350,7366,2500,2111,7680,41937,9020,52672,6190,37082,6850,11619,31260,583035,31070,71351,30,33,770,565,13250,11510,670,26,1940,1206,2810,2917,3340,618,7460,6515,580,180,2110,5409,1070,3856,1140,4352,2370,463,32040,146966,7910,15933,6600,13651,6350,9308,2270,2043,310,222,24910,59842,26510,66678,**,**,0,0,4010,6045,28220,85525,
001,"$50,000 under $75,000",17540,6950,7420,2700,11290,36090,11140,190,40,140,1075040,17540,1088945,14860,785495,5860,5448,3870,12722,3550,8721,4970,2943,2070,24732,3060,8917,2370,31712,4990,120924,60,2300,16074,4360,66521,720,8039,4700,13905,890,218,60,716,350,2702,490,2410,1990,2182,230,507,30,65,9210,165536,571522,7390,15592,1690,1909,8360,47734,9200,66490,7060,45317,7670,15397,17430,685516,17380,96196,**,**,300,547,6920,9493,830,72,890,504,1710,2370,800,136,4120,5991,710,312,1550,4849,250,1046,370,1581,610,228,17290,125078,50,12,40,7,710,849,1380,1339,70,76,16620,86704,16900,92994,0,0,0,0,3720,8417,13430,39596,
